date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,Ｎｏ．１,3562,,,,35620
,ユニフォームネクスト,3566,,,,35660
,ソトー,3571,,,,35710
,東海染工,3577,,,,35770
,オーベクス,3583,,,,35830
,自重堂,3597,,,,35970
,山喜,3598,,,,35980
,フジックス,3600,,,,36000
,クラウディアＨＬＤＧ,3607,,,,36070
,マツオカコーポレーション,3611,,,,36110
,ネットイヤーグループ,3622,,,,36220
,ビリングシステム,3623,,,,36230
,アクセルマーク,3624,,,,36240
,テックファームＨＬＤＧ,3625,,,,36250
,テクミラＨＬＤＧ,3627,,,,36270
,データホライゾン,3628,,,,36280
,ソケッツ,3634,,,,36340
,ボルテージ,3639,,,,36390
,電算,3640,,,,36400
,パピレス,3641,,,,36410
,メディカルネット,3645,,,,36450
,駅探,3646,,,,36460
,ジー・スリーＨＬＤＧ,3647,,,,36470
,ＡＧＳ,3648,,,,36480
,ディジタルメディアプロ,3652,,,,36520
,モルフォ,3653,,,,36530
,伊澤タオル,365A,,,,365A0
,モブキャストＨＬＤＧ,3664,,,,36640
,ｅｎｉｓｈ,3667,,,,36670
,ウェルネス・コミュニケーション,366A,,,,366A0
,協立情報通信,3670,,,,36700
,ソフトマックス,3671,,,,36710
,オルトプラス,3672,,,,36720
,オークファン,3674,,,,36740
,クロス・マーケティンググループ,3675,,,,36750
,プリモグローバルＨＬＤＧ,367A,,,,367A0
,ホットリンク,3680,,,,36800
,エンカレッジ・テクノロジ,3682,,,,36820
,サイバーリンクス,3683,,,,36830
,ディー・エル・イー,3686,,,,36860
,北里,368A,,,,368A0
,イルグルム,3690,,,,36900
,デジタルプラス,3691,,,,36910
,ＦＦＲＩセキュリティ,3692,,,,36920
,ＧＭＯリサーチ＆ＡＩ,3695,,,,36950
,ＣＲＩ・ミドルウェア,3698,,,,36980
,エータイ,369A,,,,369A0
,ジョルダン,3710,,,,37100
,情報企画,3712,,,,37120
,ＡＩストーム,3719,,,,37190
,日本ファルコム,3723,,,,37230
,フォーシーズＨＤ,3726,,,,37260
,アプリックス,3727,,,,37270
,レント,372A,,,,372A0
,ソフトウェア・サービス,3733,,,,37330
,リップス,373A,,,,373A0
,サイオス,3744,,,,37440
,インタートレード,3747,,,,37470
,ＡＤＲ１２０Ｓ,3750,,,,37500
,フライトソリューションズ,3753,,,,37530
,アエリア,3758,,,,37580
,ケイブ,3760,,,,37600
,システムズ・デザイン,3766,,,,37660
,リスクモンスター,3768,,,,37680
,ザッパラス,3770,,,,37700
,ウェルス・マネジメント,3772,,,,37720
,アドバンスト・メディア,3773,,,,37730
,ブロードバンドタワー,3776,,,,37760
,環境フレンドリーＨＬＤＧ,3777,,,,37770
,ジェイ・エスコムＨＬＤＧ,3779,,,,37790
,テクノマセマティカル,3787,,,,37870
,ヒット,378A,,,,378A0
,ＩＧポート,3791,,,,37910
,ドリコム,3793,,,,37930
,いい生活,3796,,,,37960
,ＵＬＳグループ,3798,,,,37980
,キーウェアソリューションズ,3799,,,,37990
,ユニリタ,3800,,,,38000
,エコミック,3802,,,,38020
,イメージ情報開発,3803,,,,38030
,システム　ディ,3804,,,,38040
,フィスコ,3807,,,,38070
,サイバーステップ,3810,,,,38100
,アルファクス・フード・システム,3814,,,,38140
,メディア工房,3815,,,,38150
,大和コンピューター,3816,,,,38160
,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ,3823,,,,38230
,リミックスポイント,3825,,,,38250
,システムインテグレータ,3826,,,,38260
,ＯＤＫソリューションズ,3839,,,,38390
,パス,3840,,,,38400
,ジーダット,3841,,,,38410
,ネクストジェン,3842,,,,38420
,アイフリークモバイル,3845,,,,38450
,パシフィックシステム,3847,,,,38470
,データ・アプリケーション,3848,,,,38480
,エヌ・ティ・ティ・データ・イン,3850,,,,38500
,日本一ソフトウェア,3851,,,,38510
,Ａｂａｌａｎｃｅ,3856,,,,38560
,ユビキタスＡＩ,3858,,,,38580
